IDFactura,Rama,Ciudad,TipoCliente,Genero,ClasificacionProducto,PrecioUnitario,Cantidad,Impuesto5%,MontoVenta,Fecha,Hora,MetodoPago,Costo,PorcentajeGanancia,GananciaNeta,PuntuacionCompra
838-78-4295,Giza,Naypyitaw,Afiliado,Femenino,Salud y belleza,33.47,2,3.347,70.287,2/10/2019,0.654861111,Digital,66.94,4.761904762,3.347,6.7
109-28-2512,Cairo,Mandalay,Afiliado,Femenino,Accesorios de moda,97.61,6,29.283,614.943,1/7/2019,0.625694444,Digital,585.66,4.761904762,29.283,9.9
232-11-3025,Alex,Yangon,Afiliado,Femenino,Entrenamiento y viajes,78.77,10,39.385,827.085,1/24/2019,0.419444444,Efectivo,787.7,4.761904762,39.385,6.4
382-03-4532,Alex,Yangon,Afiliado,Femenino,Salud y belleza,18.33,1,0.9165,19.2465,2/2/2019,0.784722222,Efectivo,18.33,4.761904762,0.9165,4.3
393-65-2792,Giza,Naypyitaw,Afiliado,Femenino,Comestibles,89.48,10,44.74,939.54,1/6/2019,0.531944444,Tarjeta,894.8,4.761904762,44.74,9.6
796-12-2025,Giza,Naypyitaw,Afiliado,Femenino,Accesorios de moda,62.12,10,31.06,652.26,2/11/2019,0.679861111,Efectivo,621.2,4.761904762,31.06,5.9
510-95-6347,Cairo,Mandalay,Afiliado,Femenino,Comestibles,48.52,3,7.278,152.838,3/5/2019,0.761805556,Digital,145.56,4.761904762,7.278,4
841-35-6630,Giza,Naypyitaw,Afiliado,Femenino,Accesorios electronicos,75.91,6,22.773,478.233,3/9/2019,0.764583333,Efectivo,455.46,4.761904762,22.773,8.7
287-21-9091,Alex,Yangon,Afiliado,Femenino,Articulos para el hogar,74.67,9,33.6015,705.6315,1/22/2019,0.454861111,Digital,672.03,4.761904762,33.6015,9.4
732-94-0499,Giza,Naypyitaw,Afiliado,Femenino,Accesorios electronicos,41.65,10,20.825,437.325,1/13/2019,0.711111111,Tarjeta,416.5,4.761904762,20.825,5.4
263-10-3913,Giza,Naypyitaw,Afiliado,Femenino,Accesorios de moda,49.04,9,22.068,463.428,1/9/2019,0.597222222,Tarjeta,441.36,4.761904762,22.068,8.6
381-20-0914,Alex,Yangon,Afiliado,Femenino,Accesorios de moda,20.01,9,9.0045,189.0945,1/12/2019,0.658333333,Tarjeta,180.09,4.761904762,9.0045,5.7
829-49-1914,Giza,Naypyitaw,Afiliado,Femenino,Comestibles,78.31,10,39.155,822.255,3/5/2019,0.683333333,Digital,783.1,4.761904762,39.155,6.6
756-01-7507,Giza,Naypyitaw,Afiliado,Femenino,Salud y belleza,20.38,5,5.095,106.995,1/22/2019,0.788888889,Efectivo,101.9,4.761904762,5.095,6
870-72-4431,Giza,Naypyitaw,Afiliado,Femenino,Salud y belleza,99.19,6,29.757,624.897,1/21/2019,0.6125,Tarjeta,595.14,4.761904762,29.757,5.5
847-38-7188,Cairo,Mandalay,Afiliado,Femenino,Comestibles,96.68,3,14.502,304.542,1/26/2019,0.830555556,Digital,290.04,4.761904762,14.502,6.4
480-63-2856,Giza,Naypyitaw,Afiliado,Femenino,Comestibles,19.25,8,7.7,161.7,1/23/2019,0.775694444,Digital,154,4.761904762,7.7,6.6
787-56-0757,Giza,Naypyitaw,Afiliado,Femenino,Comestibles,80.36,4,16.072,337.512,2/23/2019,0.78125,Tarjeta,321.44,4.761904762,16.072,8.3
360-39-5055,Giza,Naypyitaw,Afiliado,Femenino,Entrenamiento y viajes,48.91,5,12.2275,256.7775,3/9/2019,0.428472222,Efectivo,244.55,4.761904762,12.2275,6.6
730-50-9884,Giza,Naypyitaw,Afiliado,Femenino,Entrenamiento y viajes,83.06,7,29.071,610.491,3/5/2019,0.604861111,Digital,581.42,4.761904762,29.071,4
362-58-8315,Giza,Naypyitaw,Afiliado,Femenino,Accesorios de moda,76.52,5,19.13,401.73,3/25/2019,0.432638889,Efectivo,382.6,4.761904762,19.13,9.9
633-44-8566,Alex,Yangon,Afiliado,Femenino,Comestibles,49.38,7,17.283,362.943,3/27/2019,0.857638889,Tarjeta,345.66,4.761904762,17.283,7.3
504-35-8843,Alex,Yangon,Afiliado,Femenino,Entrenamiento y viajes,42.47,1,2.1235,44.5935,1/2/2019,0.70625,Efectivo,42.47,4.761904762,2.1235,5.7
318-68-5053,Cairo,Mandalay,Afiliado,Femenino,Salud y belleza,76.99,6,23.097,485.037,2/27/2019,0.746527778,Efectivo,461.94,4.761904762,23.097,6.1
565-80-5980,Giza,Naypyitaw,Afiliado,Femenino,Articulos para el hogar,47.38,4,9.476,198.996,1/23/2019,0.434027778,Efectivo,189.52,4.761904762,9.476,7.1
225-32-0908,Giza,Naypyitaw,Afiliado,Femenino,Entrenamiento y viajes,44.86,10,22.43,471.03,1/26/2019,0.829166667,Digital,448.6,4.761904762,22.43,8.2
873-51-0671,Alex,Yangon,Afiliado,Femenino,Entrenamiento y viajes,21.98,7,7.693,161.553,1/10/2019,0.695833333,Digital,153.86,4.761904762,7.693,5.1
152-08-9985,Cairo,Mandalay,Afiliado,Femenino,Salud y belleza,64.36,9,28.962,608.202,3/12/2019,0.50625,Tarjeta,579.24,4.761904762,28.962,8.6
512-91-0811,Giza,Naypyitaw,Afiliado,Femenino,Salud y belleza,89.75,1,4.4875,94.2375,2/6/2019,0.836805556,Tarjeta,89.75,4.761904762,4.4875,6.6
594-34-4444,Alex,Yangon,Afiliado,Femenino,Accesorios electronicos,97.16,1,4.858,102.018,3/8/2019,0.859722222,Digital,97.16,4.761904762,4.858,7.2
766-85-7061,Cairo,Mandalay,Afiliado,Femenino,Salud y belleza,87.87,10,43.935,922.635,3/29/2019,0.434027778,Digital,878.7,4.761904762,43.935,5.1
871-39-9221,Giza,Naypyitaw,Afiliado,Femenino,Accesorios electronicos,12.45,6,3.735,78.435,2/9/2019,0.549305556,Efectivo,74.7,4.761904762,3.735,4.1
865-92-6136,Alex,Yangon,Afiliado,Femenino,Comestibles,52.75,3,7.9125,166.1625,3/23/2019,0.427777778,Digital,158.25,4.761904762,7.9125,9.3
733-01-9107,Cairo,Mandalay,Afiliado,Femenino,Articulos para el hogar,82.7,6,24.81,521.01,3/5/2019,0.759722222,Efectivo,496.2,4.761904762,24.81,7.4
163-56-7055,Giza,Naypyitaw,Afiliado,Femenino,Accesorios de moda,48.71,1,2.4355,51.1455,3/26/2019,0.805555556,Efectivo,48.71,4.761904762,2.4355,4.1
189-98-2939,Giza,Naypyitaw,Afiliado,Femenino,Accesorios de moda,78.55,9,35.3475,742.2975,3/1/2019,0.556944444,Efectivo,706.95,4.761904762,35.3475,7.2
551-21-3069,Giza,Naypyitaw,Afiliado,Femenino,Accesorios electronicos,23.07,9,10.3815,218.0115,2/1/2019,0.477083333,Efectivo,207.63,4.761904762,10.3815,4.9
212-62-1842,Alex,Yangon,Afiliado,Femenino,Comestibles,58.26,6,17.478,367.038,3/28/2019,0.697222222,Efectivo,349.56,4.761904762,17.478,9.9
716-39-1409,Cairo,Mandalay,Afiliado,Femenino,Salud y belleza,30.35,7,10.6225,223.0725,3/19/2019,0.763194444,Efectivo,212.45,4.761904762,10.6225,8
704-48-3927,Alex,Yangon,Afiliado,Femenino,Accesorios electronicos,88.67,10,44.335,931.035,1/12/2019,0.618055556,Digital,886.7,4.761904762,44.335,7.3
628-34-3388,Giza,Naypyitaw,Afiliado,Femenino,Accesorios de moda,27.38,6,8.214,172.494,1/5/2019,0.870833333,Tarjeta,164.28,4.761904762,8.214,7.9
630-74-5166,Alex,Yangon,Afiliado,Femenino,Entrenamiento y viajes,62.13,6,18.639,391.419,3/22/2019,0.846527778,Efectivo,372.78,4.761904762,18.639,7.4
588-01-7461,Giza,Naypyitaw,Afiliado,Femenino,Comestibles,33.98,9,15.291,321.111,3/24/2019,0.446527778,Efectivo,305.82,4.761904762,15.291,4.2
861-77-0145,Giza,Naypyitaw,Afiliado,Femenino,Accesorios electronicos,81.97,10,40.985,860.685,3/3/2019,0.604166667,Efectivo,819.7,4.761904762,40.985,9.2
479-26-8945,Cairo,Mandalay,Afiliado,Femenino,Entrenamiento y viajes,16.49,2,1.649,34.629,2/5/2019,0.480555556,Digital,32.98,4.761904762,1.649,4.6
210-67-5886,Giza,Naypyitaw,Afiliado,Femenino,Salud y belleza,98.21,3,14.7315,309.3615,2/5/2019,0.445138889,Tarjeta,294.63,4.761904762,14.7315,7.8
227-78-1148,Cairo,Mandalay,Afiliado,Femenino,Accesorios de moda,72.84,7,25.494,535.374,2/15/2019,0.530555556,Efectivo,509.88,4.761904762,25.494,8.4
645-44-1170,Alex,Yangon,Afiliado,Femenino,Articulos para el hogar,58.07,9,26.1315,548.7615,1/19/2019,0.838194444,Digital,522.63,4.761904762,26.1315,4.3
237-01-6122,Giza,Naypyitaw,Afiliado,Femenino,Articulos para el hogar,80.79,9,36.3555,763.4655,2/1/2019,0.854861111,Tarjeta,727.11,4.761904762,36.3555,9.5
225-98-1496,Giza,Naypyitaw,Afiliado,Femenino,Accesorios de moda,27.02,3,4.053,85.113,3/2/2019,0.542361111,Tarjeta,81.06,4.761904762,4.053,7.1
291-32-1427,Cairo,Mandalay,Afiliado,Femenino,Accesorios de moda,21.94,5,5.485,115.185,3/5/2019,0.520138889,Digital,109.7,4.761904762,5.485,5.3
659-65-8956,Cairo,Mandalay,Afiliado,Femenino,Accesorios de moda,51.36,1,2.568,53.928,1/16/2019,0.643055556,Digital,51.36,4.761904762,2.568,5.2
642-32-2990,Alex,Yangon,Afiliado,Femenino,Comestibles,10.96,10,5.48,115.08,2/2/2019,0.866666667,Digital,109.6,4.761904762,5.48,6
378-24-2715,Cairo,Mandalay,Afiliado,Femenino,Articulos para el hogar,53.44,2,5.344,112.224,1/20/2019,0.859722222,Digital,106.88,4.761904762,5.344,4.1
638-60-7125,Alex,Yangon,Afiliado,Femenino,Accesorios electronicos,99.56,8,39.824,836.304,2/14/2019,0.710416667,Tarjeta,796.48,4.761904762,39.824,5.2
659-36-1684,Giza,Naypyitaw,Afiliado,Femenino,Entrenamiento y viajes,57.12,7,19.992,419.832,1/12/2019,0.501388889,Tarjeta,399.84,4.761904762,19.992,6.5
219-22-9386,Cairo,Mandalay,Afiliado,Femenino,Entrenamiento y viajes,99.96,9,44.982,944.622,3/9/2019,0.726388889,Tarjeta,899.64,4.761904762,44.982,4.2
336-78-2147,Giza,Naypyitaw,Afiliado,Femenino,Articulos para el hogar,63.91,8,25.564,536.844,3/13/2019,0.827777778,Tarjeta,511.28,4.761904762,25.564,4.6
268-27-6179,Cairo,Mandalay,Afiliado,Femenino,Accesorios de moda,56.47,8,22.588,474.348,3/9/2019,0.622916667,Digital,451.76,4.761904762,22.588,7.3
668-90-8900,Alex,Yangon,Afiliado,Femenino,Articulos para el hogar,93.69,7,32.7915,688.6215,3/10/2019,0.780555556,Tarjeta,655.83,4.761904762,32.7915,4.5
870-54-3162,Alex,Yangon,Afiliado,Femenino,Entrenamiento y viajes,32.25,5,8.0625,169.3125,1/27/2019,0.559722222,Efectivo,161.25,4.761904762,8.0625,9
189-08-9157,Giza,Naypyitaw,Afiliado,Femenino,Accesorios de moda,31.73,9,14.2785,299.8485,1/8/2019,0.678472222,Tarjeta,285.57,4.761904762,14.2785,5.9
663-86-9076,Giza,Naypyitaw,Afiliado,Femenino,Comestibles,68.54,8,27.416,575.736,1/8/2019,0.664583333,Digital,548.32,4.761904762,27.416,8.5
549-84-7482,Cairo,Mandalay,Afiliado,Femenino,Entrenamiento y viajes,90.28,9,40.626,853.146,2/8/2019,0.46875,Digital,812.52,4.761904762,40.626,7.2
191-10-6171,Cairo,Mandalay,Normal,Femenino,Accesorios de moda,39.62,7,13.867,291.207,1/25/2019,0.554166667,Efectivo,277.34,4.761904762,13.867,7.5
802-70-5316,Alex,Yangon,Afiliado,Femenino,Entrenamiento y viajes,92.13,6,27.639,580.419,3/6/2019,0.856944444,Efectivo,552.78,4.761904762,27.639,8.3
695-51-0018,Cairo,Mandalay,Normal,Femenino,Entrenamiento y viajes,34.84,4,6.968,146.328,2/10/2019,0.775,Efectivo,139.36,4.761904762,6.968,7.4
590-83-4591,Cairo,Mandalay,Afiliado,Femenino,Accesorios electronicos,87.45,6,26.235,550.935,2/17/2019,0.611111111,Tarjeta,524.7,4.761904762,26.235,8.8
483-71-1164,Giza,Naypyitaw,Normal,Femenino,Salud y belleza,81.3,6,24.39,512.19,3/8/2019,0.696527778,Digital,487.8,4.761904762,24.39,5.3
597-78-7908,Giza,Naypyitaw,Normal,Femenino,Accesorios de moda,90.22,3,13.533,284.193,2/18/2019,0.81875,Efectivo,270.66,4.761904762,13.533,6.2
700-81-1757,Alex,Yangon,Normal,Femenino,Accesorios electronicos,26.31,5,6.5775,138.1275,1/18/2019,0.874305556,Tarjeta,131.55,4.761904762,6.5775,8.8
354-39-5160,Alex,Yangon,Afiliado,Femenino,Articulos para el hogar,34.42,6,10.326,216.846,2/18/2019,0.652083333,Efectivo,206.52,4.761904762,10.326,9.8
241-72-9525,Cairo,Mandalay,Normal,Femenino,Entrenamiento y viajes,51.91,10,25.955,545.055,2/16/2019,0.514583333,Efectivo,519.1,4.761904762,25.955,8.2
575-30-8091,Alex,Yangon,Normal,Femenino,Entrenamiento y viajes,72.5,8,29,609,3/16/2019,0.809027778,Digital,580,4.761904762,29,9.2
731-81-9469,Giza,Naypyitaw,Afiliado,Femenino,Entrenamiento y viajes,89.8,10,44.9,942.9,1/23/2019,0.541666667,Tarjeta,898,4.761904762,44.9,5.4
280-17-4359,Giza,Naypyitaw,Afiliado,Masculino,Salud y belleza,90.5,10,45.25,950.25,1/25/2019,0.575,Efectivo,905,4.761904762,45.25,8.1
338-65-2210,Giza,Naypyitaw,Afiliado,Femenino,Salud y belleza,68.6,10,34.3,720.3,2/5/2019,0.83125,Efectivo,686,4.761904762,34.3,9.1
488-25-4221,Giza,Naypyitaw,Afiliado,Femenino,Comestibles,30.41,1,1.5205,31.9305,2/22/2019,0.441666667,Tarjeta,30.41,4.761904762,1.5205,8.4
239-10-7476,Alex,Yangon,Normal,Femenino,Articulos para el hogar,77.95,6,23.385,491.085,1/21/2019,0.692361111,Digital,467.7,4.761904762,23.385,8
458-41-1477,Giza,Naypyitaw,Normal,Femenino,Salud y belleza,46.26,6,13.878,291.438,3/8/2019,0.715972222,Tarjeta,277.56,4.761904762,13.878,9.5
685-64-1609,Alex,Yangon,Afiliado,Femenino,Accesorios de moda,30.14,10,15.07,316.47,2/10/2019,0.519444444,Digital,301.4,4.761904762,15.07,9.2
568-90-5112,Giza,Naypyitaw,Normal,Masculino,Salud y belleza,66.14,4,13.228,277.788,3/19/2019,0.531944444,Tarjeta,264.56,4.761904762,13.228,5.6
262-47-2794,Cairo,Mandalay,Afiliado,Masculino,Articulos para el hogar,71.86,8,28.744,603.624,3/6/2019,0.629861111,Tarjeta,574.88,4.761904762,28.744,6.2
238-49-0436,Alex,Yangon,Normal,Masculino,Salud y belleza,32.46,8,12.984,272.664,3/27/2019,0.575,Tarjeta,259.68,4.761904762,12.984,4.9
608-96-3517,Cairo,Mandalay,Afiliado,Femenino,Accesorios de moda,91.54,4,18.308,384.468,3/23/2019,0.805555556,Tarjeta,366.16,4.761904762,18.308,4.8
584-86-7256,Giza,Naypyitaw,Afiliado,Masculino,Entrenamiento y viajes,34.56,7,12.096,254.016,3/11/2019,0.671527778,Tarjeta,241.92,4.761904762,12.096,7.3
746-94-0204,Alex,Yangon,Normal,Masculino,Accesorios de moda,83.24,9,37.458,786.618,1/29/2019,0.497222222,Tarjeta,749.16,4.761904762,37.458,7.4
214-17-6927,Giza,Naypyitaw,Normal,Femenino,Comestibles,16.48,6,4.944,103.824,2/7/2019,0.765972222,Digital,98.88,4.761904762,4.944,9.9
400-89-4171,Giza,Naypyitaw,Normal,Femenino,Entrenamiento y viajes,80.97,8,32.388,680.148,1/28/2019,0.545138889,Efectivo,647.76,4.761904762,32.388,9.3
